step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
0,2,1,0,1,0,1,-1.1,1,0,1,0,0,0,50.0,1,medium
1,2,2,0,1,0,0,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
2,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
3,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
4,0,2,0,1,0,1,-1.9,2,0,2,0,0,0,90.0,2,high
5,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
6,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
7,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
8,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
9,0,2,3,0,1,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
10,1,2,3,0,1,2,2.5,0,0,2,0,0,0,50.0,1,medium
11,2,1,3,0,1,2,1.55,0,0,1,0,0,0,15.0,0,low
12,4,3,3,0,2,2,4.05,0,0,3,0,0,1,15.0,0,low
13,4,3,3,0,2,2,4.05,0,0,3,0,0,1,15.0,0,low
14,4,3,3,0,2,2,4.05,0,0,3,0,0,1,15.0,0,low
15,4,3,3,0,2,2,4.05,0,0,3,0,0,1,15.0,0,low
16,4,3,3,1,2,4,5.55,0,0,3,0,0,0,15.0,0,low
17,4,3,2,1,2,0,5.55,0,0,3,0,0,0,15.0,0,low
18,3,3,1,2,3,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
19,1,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
20,1,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
21,1,1,0,1,3,0,-0.07500000000000018,0,0,1,0,0,0,69.16666666666667,2,high
22,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
23,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
24,0,1,1,1,0,4,0.17500000000000027,0,0,1,0,0,0,60.83333333333333,1,medium
25,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
26,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
27,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
28,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
29,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
30,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
31,0,1,1,1,1,4,0.17500000000000027,0,0,1,0,0,0,60.83333333333333,1,medium
32,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
